task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s4400,0,gcn,softplus,0.5,4400,0.19162900652327206,0.2786061094690995,0.20052717003802006,0.19099645751260338,False,True,True,"[0.07846, 0.05512, 0.05496]",[],3301,200,8,6,32,4,78.3,cuda,cut,0.05,8,float32,0.2821006900464718,20
hops,s4400,0,heat,softplus,0.5,4400,0.19120567257812415,0.2763291177121885,0.20018961946818636,0.19099645751260338,False,True,True,"[0.07841, 0.05502, 0.05477]","[1.2733, 0.2803, 0.2901, 0.2995]",3301,200,8,6,32,4,66.4,cuda,cut,0.05,8,float32,0.2821006900464718,20
hops,s4400,0,qw,softplus,0.5,4400,0.1901141601703553,0.2704388610740083,0.19941938498650086,0.19099645751260338,True,True,True,"[0.07844, 0.05492, 0.05439]","[0.936, 0.4315, 0.3947, 0.4096]",3301,200,8,6,32,4,129.2,cuda,cut,0.05,8,float32,0.2821006900464718,20
hops,s4400,1,gcn,softplus,0.5,4400,0.2040292993965418,0.281498251858508,0.21697254705094648,0.20176043820750875,False,True,True,"[0.07388, 0.06276, 0.0627]",[],3301,200,8,6,32,4,74.8,cuda,cut,0.05,8,float32,0.2928351628019791,20
hops,s4400,1,heat,softplus,0.5,4400,0.20405642376351874,0.2808235751882495,0.21700922898884695,0.20176043820750875,False,True,True,"[0.07383, 0.06275, 0.0627]","[1.2434, 1.1288, 1.1208, 1.1395]",3301,200,8,6,32,4,66.3,cuda,cut,0.05,8,float32,0.2928351628019791,20
hops,s4400,1,qw,softplus,0.5,4400,0.20394802403593945,0.28076977460290803,0.21688362787244841,0.20176043820750875,False,True,True,"[0.07409, 0.06274, 0.06265]","[0.7478, 1.0923, 1.111, 1.1301]",3301,200,8,6,32,4,129.3,cuda,cut,0.05,8,float32,0.2928351628019791,20
hops,s4400,2,gcn,softplus,0.5,4400,0.2005446665337535,0.2889679821874635,0.2024654243764764,0.19946591633724783,False,True,True,"[0.06301, 0.05617, 0.05614]",[],3301,200,8,6,32,4,75.6,cuda,cut,0.05,8,float32,0.28265171627811597,20
hops,s4400,2,heat,softplus,0.5,4400,0.20053968397604136,0.2885677297782023,0.20245984817484647,0.19946591633724783,False,True,True,"[0.063, 0.05616, 0.05614]","[1.1184, 1.0699, 1.0669, 1.071]",3301,200,8,6,32,4,66.0,cuda,cut,0.05,8,float32,0.28265171627811597,20
hops,s4400,2,qw,softplus,0.5,4400,0.1960174224298504,0.276953025599267,0.1983174775630786,0.19946591633724783,True,True,True,"[0.06298, 0.05614, 0.05533]","[1.2309, 1.1909, 1.1934, 0.8542]",3301,200,8,6,32,4,129.3,cuda,cut,0.05,8,float32,0.28265171627811597,20
hops,s4400,3,gcn,softplus,0.5,4400,0.21172180901888307,0.2846552120791693,0.1931333256024994,0.21148654558230193,False,False,True,"[0.05663, 0.05355, 0.05216]",[],3301,200,8,6,32,4,75.1,cuda,cut,0.05,8,float32,0.29072867564712807,20
